[2024-03-08T10:09:18,915][INFO ][logstash.inputs.jdbc     ][main][6306528dd682cc53dbcd8c45b2c123f75c4f6676f062f7f75f26dc0c07197863] (0.000942s) SELECT * FROM elementatb 
[2024-03-08T10:09:15,866][INFO ][logstash.inputs.jdbc     ][main][5447fc8cbf3c06871ccee0bf175a2d6be6122742c2e86a3266e23acc51d15772] (0.001342s) SELECT * FROM automate
[2024-03-08T10:09:15,874][INFO ][logstash.inputs.jdbc     ][main][fa5ffd8b20df9e8eaffdd3650df469fe1d612eb13afe6ee06dc45a3bda7f6a04] (0.002542s) SELECT * FROM typeelementresult  
[2024-03-08T10:09:15,849][INFO ][logstash.inputs.jdbc     ][main][d8a7fadba439d2a49d57371c460ed9d79ecd272fcb4a4e1889a43c80bffc6912] (0.001127s) SELECT * FROM stockreactif 
[2024-03-08T10:09:15,862][INFO ][logstash.inputs.jdbc     ][main][c83e8d1f6b7804752a187f901724097a9a068cb167d1e38d4139fec6dcb35702] (0.002516s) SELECT * FROM resultatatb 
[2024-03-08T10:09:15,854][INFO ][logstash.inputs.jdbc     ][main][666bd71cddc0ff8828eb8ea08448b0a5cffc36e546222a6d33c543cf696e8fa4] (0.002418s) SELECT * FROM element_stock_reactif 
[2024-03-08T10:09:15,869][INFO ][logstash.inputs.jdbc     ][main][096f89540caf784209fce40cad1ab279fa640c05386a467f9b62d201a1ef20a5] (0.000718s) SELECT * FROM automatesexamen 
[2024-03-08T10:09:15,848][INFO ][logstash.inputs.jdbc     ][main][580f89da1beb3c6295e033ab6bb84311e3659c62af63f992c91f3d53dff25b35] (0.002941s) SELECT * FROM historique_stock_reactif 
[2024-03-08T10:09:15,861][INFO ][logstash.inputs.jdbc     ][main][6313eec7ec89ecfa017130fdce37ff9bdc876487edd7bd1b9158722c8c071197] (0.000622s) SELECT * FROM catagorie 
[2024-03-08T10:09:15,855][INFO ][logstash.inputs.jdbc     ][main][3f086a5cfca6f08cc5bd3a2585adada4a88d5e53a07704d261e2a16808f1dd58] (0.000394s) SELECT * FROM piecejoints
[2024-03-08T10:09:17,541][INFO ][logstash.inputs.jdbc     ][main][1a44522bdef834d30e4dbd0421149a117efb164b4078d385d6b8001292b10a94] (0.002513s) SELECT * FROM analyse
[2024-03-08T10:10:00,162][INFO ][logstash.inputs.jdbc     ][main][666bd71cddc0ff8828eb8ea08448b0a5cffc36e546222a6d33c543cf696e8fa4] (0.000769s) SELECT * FROM element_stock_reactif 
[2024-03-08T10:10:00,164][INFO ][logstash.inputs.jdbc     ][main][d8a7fadba439d2a49d57371c460ed9d79ecd272fcb4a4e1889a43c80bffc6912] (0.002970s) SELECT * FROM stockreactif 
[2024-03-08T10:10:00,178][INFO ][logstash.inputs.jdbc     ][main][580f89da1beb3c6295e033ab6bb84311e3659c62af63f992c91f3d53dff25b35] (0.000566s) SELECT * FROM historique_stock_reactif 
[2024-03-08T10:10:00,178][INFO ][logstash.inputs.jdbc     ][main][c83e8d1f6b7804752a187f901724097a9a068cb167d1e38d4139fec6dcb35702] (0.001138s) SELECT * FROM resultatatb 
[2024-03-08T10:10:00,253][INFO ][logstash.inputs.jdbc     ][main][3f086a5cfca6f08cc5bd3a2585adada4a88d5e53a07704d261e2a16808f1dd58] (0.075020s) SELECT * FROM piecejoints
[2024-03-08T10:10:05,151][INFO ][logstash.inputs.jdbc     ][main][7c56dfe22fbd8bf0973397811da6942a0b64b409c232562102a88f6ef4c47adf] (0.000639s) SELECT * FROM parametres  
[2024-03-08T10:10:05,770][INFO ][logstash.inputs.jdbc     ][main][08f05123f4cb903c888fc00518c37a2f8cf98ff22c341aacb31b686836981769] (0.000487s) SELECT * FROM interpretation  
[2024-03-08T10:10:18,280][INFO ][logstash.inputs.jdbc     ][main][a798cde71442239c4a7210903aa0b4864da698bb209fcd4a46db7120373aa5d8] (0.000388s) SELECT * FROM tubeprelevement
